IP,PORT,SOCKET,COUNTRY,REGION,CITY
162.19.7.56,12321,162.19.7.56:12321,FR,Hauts-de-France,Roubaix
162.210.192.171,55564,162.210.192.171:55564,US,District of Columbia,Washington
67.213.210.167,12763,67.213.210.167:12763,US,New York,New York City
67.213.210.62,62635,67.213.210.62:62635,US,New York,New York City
67.213.212.48,47026,67.213.212.48:47026,US,New York,New York City
66.29.128.245,49334,66.29.128.245:49334,US,Arizona,Phoenix
162.210.197.91,15597,162.210.197.91:15597,US,District of Columbia,Washington
67.213.210.62,17236,67.213.210.62:17236,US,New York,New York City
67.213.210.167,40775,67.213.210.167:40775,US,New York,New York City
67.213.212.36,28275,67.213.212.36:28275,US,New York,New York City
67.213.210.175,54269,67.213.210.175:54269,US,New York,New York City
66.29.129.53,32825,66.29.129.53:32825,US,Arizona,Phoenix
67.213.212.51,46501,67.213.212.51:46501,US,New York,New York City
23.105.170.30,37988,23.105.170.30:37988,US,Virginia,Linton Hall
162.210.197.91,48025,162.210.197.91:48025,US,District of Columbia,Washington
66.29.128.245,12590,66.29.128.245:12590,US,Arizona,Phoenix
23.105.170.30,26600,23.105.170.30:26600,US,Virginia,Linton Hall
67.213.212.48,65425,67.213.212.48:65425,US,New York,New York City
67.213.210.118,63361,67.213.210.118:63361,US,New York,New York City
67.213.210.175,30280,67.213.210.175:30280,US,New York,New York City
67.213.212.50,49132,67.213.212.50:49132,US,New York,New York City
